"Bolivar SWMo", "DMR", "12.5", "448.675000", "443.675000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "067.0", "067.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "BM SW MO", "NONE", "5", "NONE", "1", "1"
"Cox 3.4 BYRG", "DMR", "12.5", "448.400000", "443.400000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "067.0", "067.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "BM BYRG", "NONE", "5", "NONE", "1", "2"
"Cox 3.4 SWMoSky", "DMR", "12.5", "448.400000", "443.400000", "-NULL-", "NORMAL", "Color Code Free", "Medium", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "067.0", "067.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "SW MO SkyWarn", "NONE", "5", "NONE", "16", "1"
"Cox 3.4 MoSW", "DMR", "12.5", "448.400000", "443.400000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "067.0", "067.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "MO Statewide", "NONE", "5", "NONE", "1", "1"
"Cox 3.4 SWMo", "DMR", "12.5", "448.400000", "443.400000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "067.0", "067.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "BM SW MO", "NONE", "5", "NONE", "1", "1"
"Holden BYRG", "DMR", "12.5", "448.400000", "443.400000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "Yes", "No", "No", "067.0", "067.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "BM BYRG", "NONE", "4", "NONE", "1", "2"
"Holden KCSkywarn", "DMR", "12.5", "448.400000", "443.400000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "067.0", "067.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "KC Skywarn", "NONE", "4", "NONE", "1", "1"
"Holden KCN ARES", "DMR", "12.5", "448.400000", "443.400000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "067.0", "067.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "KCN ARES", "NONE", "4", "NONE", "1", "1"
"Holden Parrot", "DMR", "12.5", "448.400000", "443.400000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "067.0", "067.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "BM Parrot", "NONE", "4", "NONE", "1", "1"
"Iconium BYRG", "DMR", "12.5", "449.475000", "444.475000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "Yes", "No", "No", "067.0", "067.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "BM BYRG", "NONE", "4", "NONE", "1", "2"
